id	tweet_id	tweet_url	user_id	tweet	target_word	Aggression	Emotion	Emphasis	Auxiliary	Signal Group Identity	Non-Vulgar	Majority	Has_Majority
15851225_943599100397748224_17	943599100397748224	https://twitter.com/realdonaldtrump/status/943599100397748224	15851225	What I am not okay with is the Spotify/Adblock/etc-created culture of total entitlement to creative work. This <b>shit...</b> <URL>	shit	1	2	2	2	0	0	3	0
156792261_198212302523207682_10	198212302523207682	https://twitter.com/realdonaldtrump/status/198212302523207682	156792261	<USER> ok knicks. we're winning. dont fuck it up. dont <b>fuck</b> it up. kill lebron if you have to I DONT CARE' Garbage basketball	fuck	0	3	1	3	0	0	0	0
377744411_746287799918198784_4	746287799918198784	https://twitter.com/realdonaldtrump/status/746287799918198784	377744411	Is the EU now <b>fucked?</b> #brexit #BrexitVote #BrexitOrNot #BrexitVote #brexitparty #brexitpoll	fucked	0	3	1	3	0	0	3	0
71507676_421764211874619392_1	421764211874619392	https://twitter.com/realdonaldtrump/status/421764211874619392	71507676	<USER> <b>FUCK</b> #Sternthology. Just replays with a fancy name. More live programming like <USER> is what 's needed.	fuck	3	3	1	0	0	0	1	0
1284918614_703666218721480706_1	703666218721480706	https://twitter.com/realdonaldtrump/status/703666218721480706	1284918614	My <b>bullshit</b> radar is on full force today	bullshit	0	1	3	3	0	0	0	0
2289044648_717453347138191361_8	717453347138191361	https://twitter.com/realdonaldtrump/status/717453347138191361	2289044648	Life is too short to not call out <b>bullshit</b> when I see it.	bullshit	0	2	2	2	1	0	1	0
38652986_458260162592387072_2	458260162592387072	https://twitter.com/realdonaldtrump/status/458260162592387072	38652986	<USER> holy <b>shit</b> it was!!! Lmaooooo now that's funnier than the once upon a time Page asking me to follow them on Instagram lmao	shit	0	3	3	1	0	0	1	0
247015593_568490357547245568_5	568490357547245568	https://twitter.com/realdonaldtrump/status/568490357547245568	247015593	<USER> I was called an <b>ass</b> yesterday! But whats new..	ass	2	0	2	1	2	0	3	0
23223898_164440709544419329_4	164440709544419329	https://twitter.com/realdonaldtrump/status/164440709544419329	23223898	DWP making my life <b>hell</b> right now, horrible day, wish the bastards would just leave me alone	hell	0	2	1	2	0	2	1	0
299420900_573268792157061120_16	573268792157061120	https://twitter.com/realdonaldtrump/status/573268792157061120	299420900	<USER>_taylor <USER> <USER> that is so soon I don't know if I can handle it holy <b>fuck</b>	fuck	0	3	3	1	0	0	2	0
3204666058_862843649574547456_4	862843649574547456	https://twitter.com/realdonaldtrump/status/862843649574547456	3204666058	<USER> <USER> Bob Beckel's <b>bullshit</b> makes this show unwatchable. At least Juan is pleasant in his idiocy.	bullshit	2	1	2	2	0	0	3	0
3796428432_709237134926811136_5	709237134926811136	https://twitter.com/realdonaldtrump/status/709237134926811136	3796428432	Do we really need to <b>'fuck</b> some shit up,' <USER> Shouldn't we be fixing the country's income inequality problems first?	fuck	0	3	1	3	0	0	3	0
2673969046_537848445743005697_3	537848445743005697	https://twitter.com/realdonaldtrump/status/537848445743005697	2673969046	<USER> shut up <b>fag.</b> I do too love you	fag	3	0	0	1	3	0	4	0
53766256_919759145213087745_15	919759145213087745	https://twitter.com/realdonaldtrump/status/919759145213087745	53766256	What's sad is that Al Michaels will end up apologizing because SJWs (who don't do <b>shit</b> for the women that they defend) will have a hissy fit	shit	0	3	1	3	0	0	3	0
2289044648_659722306432864257_7	659722306432864257	https://twitter.com/realdonaldtrump/status/659722306432864257	2289044648	Worst debate ever. Thanks moderators for being <b>shitty</b> at your job. #GOPDebate	shitty	2	2	1	0	2	0	1	0
2758479022_684815662871646209_6	684815662871646209	https://twitter.com/realdonaldtrump/status/684815662871646209	2758479022	<USER> fuck your mom's tiny sweet <b>pussy</b>	pussy	3	0	1	3	0	0	3	0
346605829_496031058274811905_2	496031058274811905	https://twitter.com/realdonaldtrump/status/496031058274811905	346605829	I'm #Viggling <b>Hell</b> on Wheels. TV loves you back with #ViggleTV. Watch TV. Earn Points. Get Rewards.	hell	0	0	1	3	0	3	5	0
2751224597_916306920293707776_11	916306920293707776	https://twitter.com/realdonaldtrump/status/916306920293707776	2751224597	Really needing motivation to stay in uni... Out here busting my <b>ass</b> and I'm still failing everything.	ass	0	1	3	3	0	0	3	0
467824710_274703318431965185_4	274703318431965185	https://twitter.com/realdonaldtrump/status/274703318431965185	467824710	Talkin to a rich <b>skank</b> filled up like a sperm bank	skank	3	0	0	1	3	0	0	0
2222360154_726809573852479488_5	726809573852479488	https://twitter.com/realdonaldtrump/status/726809573852479488	2222360154	Aries friend: 'Today I'm gonna <b>fuck</b> shit up'. Me: Remember, don't drop the soap later in jail. #MayDay	fuck	2	1	2	2	0	0	3	0
994336536_700165914449186817_2	700165914449186817	https://twitter.com/realdonaldtrump/status/700165914449186817	994336536	<USER> <USER> <b>damn</b>	damn	0	3	3	1	0	0	1	0
3028515586_591232526850490368_11	591232526850490368	https://twitter.com/realdonaldtrump/status/591232526850490368	3028515586	Death Cab for Cutie's Frontman Just Gave Jay Z the Ultimate <b>F*ck</b> You <URL>	f*ck	2	1	2	2	0	0	1	0
251931074_163838041637650432_1	163838041637650432	https://twitter.com/realdonaldtrump/status/163838041637650432	251931074	That <b>bitch</b> is sexy tho <URL>	bitch	2	1	1	2	1	0	4	0
443254689_247764965786800130_1	247764965786800130	https://twitter.com/realdonaldtrump/status/247764965786800130	443254689	I'm <b>pissed.</b>	pissed	3	3	0	1	0	0	1	0
61654870_159479247646375936_0	159479247646375936	https://twitter.com/realdonaldtrump/status/159479247646375936	61654870	<b>Shit</b> you cant take <USER> out in public. Haha im dying	shit	0	3	1	3	0	0	1	0
2557410338_686912999009857536_3	686912999009857536	https://twitter.com/realdonaldtrump/status/686912999009857536	2557410338	Reading about this: <b>Fag</b> Power: Owning and running more of the Church, and more of America. - <URL>	fag	3	0	0	1	3	0	4	0
56409657_689553598280306688_9	689553598280306688	https://twitter.com/realdonaldtrump/status/689553598280306688	56409657	Chelsea Handler Hits Back At Heather McDonaldu2019s Boss From <b>Hell</b> Claims: u2026 READu00a0ON <URL>	hell	0	2	2	1	0	2	2	0
2535572605_623924919693389824_2	623924919693389824	https://twitter.com/realdonaldtrump/status/623924919693389824	2535572605	Time ta <b>fuck</b> up some commas yeah	fuck	2	1	2	2	0	0	3	0
1619527567_760676748505649152_5	760676748505649152	https://twitter.com/realdonaldtrump/status/760676748505649152	1619527567	A fuck boi is a <b>fuck</b> boi is a fuck boi	fuck	1	0	2	2	2	0	3	0
2763554758_534543109884227585_4	534543109884227585	https://twitter.com/realdonaldtrump/status/534543109884227585	2763554758	<USER> puberty slapped the <b>shit</b> outta you .	shit	0	1	3	3	0	0	2	0
417275252_209095896837795841_6	209095896837795841	https://twitter.com/realdonaldtrump/status/209095896837795841	417275252	N people wonder why im sucha <b>bitch</b> lately	bitch	2	1	2	0	2	0	1	0
1621290246_918517183751360513_5	918517183751360513	https://twitter.com/realdonaldtrump/status/918517183751360513	1621290246	<USER> their son is a <b>piss</b> baby	piss	3	0	3	1	0	0	0	0
67493813_47203772098813953_2	47203772098813953	https://twitter.com/realdonaldtrump/status/47203772098813953	67493813	Karmas a <b>bitch</b>	bitch	2	2	2	1	0	0	1	0
443254689_201884887748325378_2	201884887748325378	https://twitter.com/realdonaldtrump/status/201884887748325378	443254689	<USER> awe, <b>fuck</b> bitches sweetheart. They should feel lucky to have you.	fuck	1	2	2	1	1	0	1	0
32798125_378722143728435201_9	378722143728435201	https://twitter.com/realdonaldtrump/status/378722143728435201	32798125	<USER> <USER> that seems like it would be a <b>bitch...</b>	bitch	0	3	0	3	1	0	1	0
411286431_930200805331828736_4	930200805331828736	https://twitter.com/realdonaldtrump/status/930200805331828736	411286431	<USER> Why in the <b>hell</b> can you guys not WAIT and give a warning of at least 1 day in advance...	hell	0	3	3	1	0	0	2	0
577757790_425161104939958273_19	425161104939958273	https://twitter.com/realdonaldtrump/status/425161104939958273	577757790	Fire alarm at 2 in Myers? Both I and the poor Athens fire department are getting tired of your <b>shit,</b> uga students.	shit	2	2	0	1	2	0	3	0
59045313_414348639004160000_13	4.14349E+17	https://twitter.com/realdonaldtrump/status/414348639004160000	59045313	<USER> season 3 episode 10 ..about 15 minutes in.. I'd recognize that sexy <b>bitch</b> anywhere ;)	bitch	0	2	1	2	2	0	4	0
821038622_292485012211785728_9	292485012211785728	https://twitter.com/realdonaldtrump/status/292485012211785728	821038622	<USER> Can I put some makeup on before y'all <b>fuck</b> me? I lost all my stats and all y'all got is 'sorry bro'	fuck	2	2	2	1	0	0	1	0
4351865122_682669610253037568_10	682669610253037568	https://twitter.com/realdonaldtrump/status/682669610253037568	4351865122	<USER> how many peoples mothers were you on last night <b>damn</b>	damn	0	3	3	1	0	0	2	0
1300116896_834978449894830080_7	834978449894830080	https://twitter.com/realdonaldtrump/status/834978449894830080	1300116896	you're the cutest human being ever I <b>fucking</b> sweaaaarrrr!!! I want you to be mineee! fuck i love you so damn much <URL>	fucking	1	3	3	0	0	0	2	0
532718125_661833428594241536_3	661833428594241536	https://twitter.com/realdonaldtrump/status/661833428594241536	532718125	<USER> Yeah it's <b>fucked</b> up.	fucked	3	3	1	0	0	0	1	0
2281653608_548408622041284608_15	548408622041284608	https://twitter.com/realdonaldtrump/status/548408622041284608	2281653608	<USER> Damn, I was woken up at 3:30 in the fucking morning by my bear, <b>motherfucker;</b> Whatcha get for chrissymas??	motherfucker	2	1	1	1	2	0	0	0
2179030802_443079930537336832_5	443079930537336832	https://twitter.com/realdonaldtrump/status/443079930537336832	2179030802	This is my definition of <b>hell</b>	hell	0	3	0	1	0	3	5	0
404349377_382697980194594817_9	382697980194594817	https://twitter.com/realdonaldtrump/status/382697980194594817	404349377	<USER> It's so sad seeing someone talk so much <b>shit</b> about a person and then going and hanging out with them'	shit	0	3	1	3	0	0	1	0
366022299_147309339772850176_13	147309339772850176	https://twitter.com/realdonaldtrump/status/147309339772850176	366022299	I don't think I've spoken to a single #cua senior who gives a <b>shit</b> about finals.	shit	0	3	3	1	0	0	1	0
2931733350_682103522796650496_4	682103522796650496	https://twitter.com/realdonaldtrump/status/682103522796650496	2931733350	<USER> your movies suck <b>ass</b>	ass	1	3	0	3	0	0	2	0
2763554758_529437979727912960_9	529437979727912960	https://twitter.com/realdonaldtrump/status/529437979727912960	2763554758	Not my fault you get butthurt easily. Save that <b>shit</b> for the pillow.	shit	2	2	0	2	1	0	1	0
2597223242_738530991359197185_19	738530991359197185	https://twitter.com/realdonaldtrump/status/738530991359197185	2597223242	Someone today was like Marilyn Monroe is a hoe and I said yes but she is the most classiest <b>hoe</b> u will ever see	hoe	2	0	0	2	2	1	0	0
2751224597_877265874696245248_2	877265874696245248	https://twitter.com/realdonaldtrump/status/877265874696245248	2751224597	Accurate as <b>fuck</b> lol <URL>	fuck	0	3	3	1	0	0	2	0
480728639_278337527377698816_5	278337527377698816	https://twitter.com/realdonaldtrump/status/278337527377698816	480728639	I just love him. Through <b>hell</b> and back ud83dudc96 <URL>	hell	0	2	0	2	1	2	5	0
1012364616_367690051511394304_1	367690051511394304	https://twitter.com/realdonaldtrump/status/367690051511394304	1012364616	Foto: <b>FUCK</b> D &amp; G <URL>	fuck	2	2	2	1	0	0	1	0
