id	tweet_id	tweet_url	user_id	tweet	target_word	Aggression	Emotion	Emphasis	Auxiliary	Signal Group Identity	Non-vulgar	majority	has_majority
242136273_456051241970573312_8	456051241970573312	https://twitter.com/realdonaldtrump/status/456051241970573312	242136273	$100 for zac brown Fenway tickets is pretty <b>shitty</b>	shitty	0	3	3	1	0	0	1	0
429588160_852903968409825283_16	852903968409825283	https://twitter.com/realdonaldtrump/status/852903968409825283	429588160	Maybe we need a bill that says no lawmakers can use ANY public restroom. Karma's a <b>bitch,</b> ain't it? <URL>	bitch	2	2	1	1	1	0	1	0
205042068_226674116961382401_6	226674116961382401	https://twitter.com/realdonaldtrump/status/226674116961382401	205042068	Im done being the nice guy. <b>Fuck</b> that shit.	fuck	3	3	1	0	0	0	1	0
68904928_810281598591635456_17	810281598591635456	https://twitter.com/realdonaldtrump/status/810281598591635456	68904928	<USER> best one since Empire, but the emotional resonance is just not there. They tried though, holy <b>shit</b> did they try.	shit	0	3	3	1	0	0	2	0
24067153_209610251597651969_5	209610251597651969	https://twitter.com/realdonaldtrump/status/209610251597651969	24067153	#YOLO? I prefer #FISH - <b>Fuck</b> It! Shit Happens!	fuck	0	3	3	1	0	0	1	0
24067153_209610251597651969_7	209610251597651969	https://twitter.com/realdonaldtrump/status/209610251597651969	24067153	#YOLO? I prefer #FISH - Fuck It! <b>Shit</b> Happens!	shit	0	3	1	3	0	0	3	0
228675518_578348343169941505_5	578348343169941505	https://twitter.com/realdonaldtrump/status/578348343169941505	228675518	Lucious is gonna get his <b>ass</b> handed to him tonight. I see it coming. #Empire	ass	2	0	2	2	1	0	3	0
17412436_182892826328178688_5	182892826328178688	https://twitter.com/realdonaldtrump/status/182892826328178688	17412436	Worst Nightmare - Clients From <b>Hell</b> <URL> via <USER>	hell	0	2	1	1	1	2	1	0
30767096_883099214078726145_19	883099214078726145	https://twitter.com/realdonaldtrump/status/883099214078726145	30767096	I don't especially want to talk about it, but could use some extra love right now, especially after this <b>shit</b> show of a week.	shit	0	3	3	1	0	0	2	0
241652764_692709317955420160_0	692709317955420160	https://twitter.com/realdonaldtrump/status/692709317955420160	241652764	<b>fucked</b> up tatoost: <URL> via <USER>	fucked	0	3	3	1	0	0	1	0
